name,id,inApp,inAcademy
Website Redesign Strategy,2602356386,https://app.hubspot.com/projects/l/templates/38469,http://academy.hubspot.com/projects/customer-projects-website-redesign-strategy
how-to-reverse-engineer-content-creation,3740753035,https://app.hubspot.com/projects/l/templates/66460,http://academy.hubspot.com/projects/how-to-reverse-engineer-content-creation
Repurposing Content,3740764385,https://app.hubspot.com/projects/l/templates/66636,http://academy.hubspot.com/projects/customer-projects-repurposing-content
Measure Funnel Conversions,2735965314,https://app.hubspot.com/projects/l/templates/67105,http://academy.hubspot.com/projects/customer-projects-attribution-reporting
Up-sell and Cross Sell ,3095257728,https://app.hubspot.com/projects/l/templates/69194,http://academy.hubspot.com/customer-projects-how-to-cross-sell
Social Publishing Strategy ,2957899370,https://app.hubspot.com/projects/l/templates/71581,http://academy.hubspot.com/projects/customer-projects-social-publishing
